price_level,level_type,timeframe,created_at,source,anchor_time,completion_time,direction,period,support_touches,resistance_touches
94465.545,Fib_0.50_daily,daily,2025-05-12,fibonacci,2025-04-16,2025-05-12,low_to_high,,2,0
94500.0,VP_poc,daily,,volume_profile,,,,2025-01-12,2,0
94500.0,VP_vah,daily,,volume_profile,,,,2025-02-12,2,0
94506.67,Fib_0.25_daily,daily,2025-05-06,fibonacci,2025-05-02,2025-05-06,high_to_low,,2,0
94528.0,VP_poc,daily,,volume_profile,,,,2025-04-30,2,0
94532.0,VP_vah,daily,,volume_profile,,,,2025-04-29,2,0
94536.11,HTF_Level_daily,daily,2025-01-14,htf,,,,,2,0
94576.0,VP_poc,daily,,volume_profile,,,,2025-01-11,1,0
94609.0,VP_val,daily,,volume_profile,,,,2025-01-01,1,0
94638.68,HTF_Level_daily,daily,2025-04-26,htf,,,,,1,0
94639.54687,Fib_0.639_daily,daily,2025-05-02,fibonacci,2025-04-28,2025-05-02,low_to_high,,1,0
94657.0,VP_poc,daily,,volume_profile,,,,2025-01-10,1,0
94666.0,VP_val,daily,,volume_profile,,,,2025-05-05,1,0
94668.1225,Fib_0.75_daily,daily,2025-02-28,fibonacci,2025-02-07,2025-02-28,high_to_low,,1,0
94672.0,VP_vah,daily,,volume_profile,,,,2025-02-18,1,0
94688.0,VP_val,daily,,volume_profile,,,,2025-01-11,1,0
94690.19117,Fib_0.639_daily,daily,2025-04-28,fibonacci,2025-04-25,2025-04-28,high_to_low,,1,0
94713.0,Fractal_Low,daily,2025-02-09,fractal,,,,,1,0
94726.1,HTF_Level_daily,daily,2025-01-11,htf,,,,,1,1
94728.0,VP_val,daily,,volume_profile,,,,2025-04-26,1,1
94747.5675,Fib_0.25_daily,daily,2025-02-18,fibonacci,2025-02-14,2025-02-18,high_to_low,,1,1
94793.0,VP_poc,daily,,volume_profile,,,,2025-04-28,1,0
94829.0,VP_poc,daily,,volume_profile,,,,2025-04-29,1,0
94871.95,Fractal_Low,daily,2025-02-21,fractal,,,,,1,0
94879.0,VP_poc,daily,,volume_profile,,,,2025-04-25,1,0
94884.485,Fib_0.50_daily,daily,2025-05-12,fibonacci,2025-04-20,2025-05-12,low_to_high,,1,0
94909.8175,Fib_0.75_daily,daily,2025-02-21,fibonacci,2025-02-18,2025-02-21,low_to_high,,1,0
94923.69216,Fib_0.639_daily,daily,2025-04-07,fibonacci,2025-01-30,2025-04-07,high_to_low,,1,0
94926.0,VP_val,daily,,volume_profile,,,,2025-04-30,1,0
95000.0,Fractal_High,daily,2025-03-02,fractal,,,,,1,0
95011.18,HTF_Level_daily,daily,2025-04-29,htf,,,,,1,0
95018.5325,Fib_0.75_daily,daily,2025-04-28,fibonacci,2025-04-25,2025-04-28,high_to_low,,1,0
95037.61,Fib_0.25_daily,daily,2025-02-03,fibonacci,2025-01-30,2025-02-03,high_to_low,,1,0
95056.0,VP_val,daily,,volume_profile,,,,2025-01-12,1,0
95075.565,Fib_0.25_daily,daily,2025-02-18,fibonacci,2025-02-07,2025-02-18,high_to_low,,1,0
95117.0,VP_val,daily,,volume_profile,,,,2025-01-10,1,0
95157.0,VP_val,daily,,volume_profile,,,,2025-05-06,1,0
95185.7775,Fib_0.25_daily,daily,2025-02-12,fibonacci,2025-02-11,2025-02-12,high_to_low,,1,0
95203.25,Fib_0.25_daily,daily,2025-02-03,fibonacci,2025-01-24,2025-02-03,high_to_low,,1,0
95222.0,VP_poc,daily,,volume_profile,,,,2025-02-03,1,0
95259.0,VP_poc,daily,,volume_profile,,,,2025-01-08,1,0
95272.6725,Fib_0.75_daily,daily,2025-02-14,fibonacci,2025-02-12,2025-02-14,low_to_high,,1,0
95287.0,VP_vah,daily,,volume_profile,,,,2025-05-04,1,0
95326.0,VP_val,daily,,volume_profile,,,,2025-04-28,1,0
95347.068,Fib_0.639_daily,daily,2025-04-07,fibonacci,2025-01-24,2025-04-07,high_to_low,,1,0
95347.845,Fib_0.50_daily,daily,2025-05-02,fibonacci,2025-04-28,2025-05-02,low_to_high,,1,0
95367.0,VP_val,daily,,volume_profile,,,,2025-04-29,1,0
95414.0,VP_vah,daily,,volume_profile,,,,2025-02-23,1,0
95441.0,VP_poc,daily,,volume_profile,,,,2025-05-04,1,0
95467.0,VP_vah,daily,,volume_profile,,,,2025-02-13,1,0
95536.0,VP_vah,daily,,volume_profile,,,,2025-02-19,1,0
95567.0,VP_poc,daily,,volume_profile,,,,2025-02-18,1,0
95585.46451,Fib_0.639_daily,daily,2025-02-21,fibonacci,2025-02-18,2025-02-21,low_to_high,,1,0
95600.67,Fib_0.25_daily,daily,2025-02-12,fibonacci,2025-02-07,2025-02-12,high_to_low,,1,0
95630.0,Fractal_High,daily,2025-04-28,fractal,,,,,1,0
95636.34,Fib_0.50_daily,daily,2025-05-06,fibonacci,2025-05-02,2025-05-06,high_to_low,,1,0
95654.355,Fib_0.75_daily,daily,2025-02-11,fibonacci,2025-02-09,2025-02-11,low_to_high,,1,0
95671.74,HTF_Level_daily,daily,2025-02-19,htf,,,,,1,0
95672.0,VP_vah,daily,,volume_profile,,,,2025-01-14,1,0
95680.0,VP_vah,daily,,volume_profile,,,,2025-05-01,1,0
95681.07016,Fib_0.639_daily,daily,2025-03-11,fibonacci,2025-01-30,2025-03-11,high_to_low,,1,0
95683.0,VP_val,daily,,volume_profile,,,,2025-04-25,1,0
95684.495,Fib_0.50_daily,daily,2025-02-07,fibonacci,2025-02-03,2025-02-07,low_to_high,,1,0
95689.0,VP_vah,daily,,volume_profile,,,,2025-02-17,1,0
95721.0,VP_poc,daily,,volume_profile,,,,2025-02-23,1,0
95758.04,Fractal_High,daily,2025-04-25,fractal,,,,,1,0
95763.0,VP_poc,daily,,volume_profile,,,,2025-02-24,1,0
95778.21,HTF_Level_daily,daily,2025-02-12,htf,,,,,1,0
95798.56497,Fib_0.639_daily,daily,2025-02-14,fibonacci,2025-02-12,2025-02-14,low_to_high,,1,0
95800.0,VP_vah,daily,,volume_profile,,,,2025-02-09,1,0
95820.25,Fib_0.25_daily,daily,2025-02-03,fibonacci,2025-01-20,2025-02-03,high_to_low,,1,0
95888.0,VP_vah,daily,,volume_profile,,,,2025-02-06,0,0
95901.0,VP_poc,daily,,volume_profile,,,,2025-02-13,0,0
95938.0,VP_vah,daily,,volume_profile,,,,2025-05-03,0,0
95950.0,VP_vah,daily,,volume_profile,,,,2025-02-08,0,0
95983.0,VP_vah,daily,,volume_profile,,,,2025-01-02,0,0
95990.535,Fib_0.50_daily,daily,2025-01-13,fibonacci,2025-01-07,2025-01-13,high_to_low,,0,1
96048.0,VP_poc,daily,,volume_profile,,,,2025-02-12,0,1
96052.0,VP_val,daily,,volume_profile,,,,2025-01-08,0,1
96054.87,Fib_0.75_daily,daily,2025-05-12,fibonacci,2025-04-28,2025-05-12,low_to_high,,0,1
96058.0,VP_vah,daily,,volume_profile,,,,2025-02-11,0,1
96069.2475,Fib_0.25_daily,daily,2025-02-09,fibonacci,2025-02-07,2025-02-09,high_to_low,,0,1
96072.31662,Fib_0.639_daily,daily,2025-02-11,fibonacci,2025-02-09,2025-02-11,low_to_high,,0,1
96079.0,VP_val,daily,,volume_profile,,,,2025-05-04,0,1
96104.446,Fib_0.639_daily,daily,2025-03-11,fibonacci,2025-01-24,2025-03-11,high_to_low,,0,1
96107.045,Fib_0.50_daily,daily,2025-02-18,fibonacci,2025-02-14,2025-02-18,high_to_low,,0,1
96108.0,VP_vah,daily,,volume_profile,,,,2025-01-03,0,1
96132.0,VP_poc,daily,,volume_profile,,,,2025-02-08,0,1
96181.99,HTF_Level_daily,daily,2025-02-22,htf,,,,,0,1
96205.0,VP_poc,daily,,volume_profile,,,,2025-02-19,0,1
96254.0,VP_poc,daily,,volume_profile,,,,2025-02-17,0,1
