open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,bearish_fractal,bullish_fractal
2024-10-19 12:00:00,68090.3,68268.32,68088.0,68222.0,260.37486,2024-10-19 12:59:59.999,17754690.16419750,35519,140.55875000,9584471.54332340,0,False,True
2024-10-19 13:00:00,68222.0,68222.01,68114.69,68114.7,265.42369,2024-10-19 13:59:59.999,18089120.82211670,50643,117.15709000,7984243.87509270,0,False,False
2024-10-19 14:00:00,68114.71,68350.0,68114.7,68300.01,401.4107,2024-10-19 14:59:59.999,27396182.24076820,64675,230.59595000,15737000.55925540,0,True,False
2024-10-19 15:00:00,68300.0,68338.0,68159.9,68226.93,419.69957,2024-10-19 15:59:59.999,28638292.95696220,52839,168.61821000,11505543.71387600,0,False,False
2024-10-19 16:00:00,68226.94,68227.54,68041.02,68042.0,365.8562,2024-10-19 16:59:59.999,24926456.67509390,68820,129.21399000,8803039.75843900,0,False,False
2024-10-19 17:00:00,68042.0,68142.8,68010.0,68121.99,207.0333,2024-10-19 17:59:59.999,14097899.60751990,46863,103.23877000,7030347.26407260,0,False,True
2024-10-19 18:00:00,68121.99,68190.06,68094.4,68179.99,187.56654,2024-10-19 18:59:59.999,12783552.89468120,27529,127.07094000,8660547.48048080,0,False,False
2024-10-19 19:00:00,68179.99,68242.43,68154.31,68181.98,259.13892,2024-10-19 19:59:59.999,17671007.03025550,27220,113.05598000,7709613.79041580,0,False,False
2024-10-19 20:00:00,68181.98,68277.96,68168.45,68245.18,518.33656,2024-10-19 20:59:59.999,35370544.77736540,34067,371.33779000,25339904.31286980,0,False,False
2024-10-19 21:00:00,68245.18,68345.41,68222.43,68222.43,423.73528,2024-10-19 21:59:59.999,28941884.80354970,37632,263.83757000,18021380.51080300,0,False,False
2024-10-19 22:00:00,68222.43,68410.0,68203.18,68330.0,345.97,2024-10-19 22:59:59.999,23632167.50984760,66169,166.18749000,11352334.70815240,0,False,False
2024-10-19 23:00:00,68330.0,68413.96,68304.0,68378.0,393.34948,2024-10-19 23:59:59.999,26891489.63281670,50498,253.54240000,17333057.88125930,0,False,False
2024-10-20 00:00:00,68377.99,68446.0,68231.23,68231.24,440.41304,2024-10-20 00:59:59.999,30113354.59531890,66304,247.66923000,16938289.84382330,0,True,False
2024-10-20 01:00:00,68231.24,68253.3,68155.0,68158.0,217.11239,2024-10-20 01:59:59.999,14807710.31742650,45966,105.59111000,7201832.96530020,0,False,False
2024-10-20 02:00:00,68158.0,68220.0,68114.43,68177.01,217.83232,2024-10-20 02:59:59.999,14848791.53695060,29912,88.12008000,6007248.77387310,0,False,False
2024-10-20 03:00:00,68177.01,68198.0,68100.0,68188.0,179.36249,2024-10-20 03:59:59.999,12223936.03002010,31163,79.83105000,5440804.13355790,0,False,True
2024-10-20 04:00:00,68188.01,68316.0,68184.96,68235.99,181.24513,2024-10-20 04:59:59.999,12369325.21128900,28609,98.28817000,6707124.94559980,0,False,False
2024-10-20 05:00:00,68236.0,68291.67,68180.99,68214.0,232.81996,2024-10-20 05:59:59.999,15885044.10058240,29702,113.78840000,7764363.01904830,0,False,False
2024-10-20 06:00:00,68213.99,68410.0,68176.26,68400.01,446.43758,2024-10-20 06:59:59.999,30478570.48719230,33944,348.67231000,23806563.19785060,0,False,True
2024-10-20 07:00:00,68400.01,68433.5,68364.1,68378.0,580.54038,2024-10-20 07:59:59.999,39707874.10378670,36540,395.74384000,27068190.75434840,0,False,False
2024-10-20 08:00:00,68378.01,68500.0,68355.01,68394.0,454.72661,2024-10-20 08:59:59.999,31109027.30928110,35691,231.42970000,15834468.67299280,0,True,False
2024-10-20 09:00:00,68393.99,68445.99,68355.0,68434.2,239.27437,2024-10-20 09:59:59.999,16367001.59788360,27793,123.24928000,8430202.36842220,0,False,True
2024-10-20 10:00:00,68434.2,68458.3,68376.04,68376.05,241.82127,2024-10-20 10:59:59.999,16546542.94039370,25376,119.08406000,8148129.80274320,0,False,False
2024-10-20 11:00:00,68376.05,68443.4,68374.01,68420.01,194.59843,2024-10-20 11:59:59.999,13313313.52466540,29695,91.42643000,6254386.20286880,0,False,False
2024-10-20 12:00:00,68420.01,68438.69,68259.9,68268.36,372.43389,2024-10-20 12:59:59.999,25462906.17568930,45449,144.78864000,9899366.70615880,0,False,False
2024-10-20 13:00:00,68268.37,68486.0,68198.22,68451.85,663.03298,2024-10-20 13:59:59.999,45316421.46698360,77173,351.84038000,24051767.45230370,0,False,True
2024-10-20 14:00:00,68451.85,68772.7,68451.84,68637.99,1336.44277,2024-10-20 14:59:59.999,91752254.21195220,139410,705.42485000,48420258.10789550,0,True,False
2024-10-20 15:00:00,68638.0,68687.99,68366.0,68625.99,653.09373,2024-10-20 15:59:59.999,44753561.33088180,89039,263.00584000,18025145.15117310,0,False,False
2024-10-20 16:00:00,68625.99,68660.0,68505.46,68505.47,342.64364,2024-10-20 16:59:59.999,23494876.38796480,57472,186.72746000,12803938.86484820,0,False,False
2024-10-20 17:00:00,68505.47,68608.0,68422.0,68562.0,319.60725,2024-10-20 17:59:59.999,21897253.21081390,39052,180.82608000,12389258.49708470,0,False,False
2024-10-20 18:00:00,68562.01,68653.5,68562.0,68604.0,218.85961,2024-10-20 18:59:59.999,15019137.28397970,29351,120.51916000,8270198.06079700,0,False,False
2024-10-20 19:00:00,68604.01,68604.01,68495.99,68508.29,256.27441,2024-10-20 19:59:59.999,17564331.44468030,41848,72.58206000,4974247.13665790,0,False,False
2024-10-20 20:00:00,68508.3,68900.0,68461.93,68781.98,482.77596,2024-10-20 20:59:59.999,33184905.76984890,76142,308.59805000,21211159.21294640,0,False,True
