price_level,level_type,timeframe,created_at,source,anchor_time,completion_time,direction,period
95754.0,VP_val,daily,,volume_profile,,,,2024-11-28
95791.0,VP_vah,daily,,volume_profile,,,,2024-12-10
95840.61,HTF_Level_daily,daily,2024-12-03,htf,,,,
95863.11,HTF_Level_daily,daily,2024-11-28,htf,,,,
95976.0,VP_poc,daily,,volume_profile,,,,2024-12-03
96001.25,Fib_0.25_daily,daily,2024-12-17,fibonacci,2024-10-10,2024-12-17,low_to_high,
96116.0,VP_poc,daily,,volume_profile,,,,2024-11-27
96186.0,VP_val,daily,,volume_profile,,,,2024-12-03
96262.655,Fib_0.25_daily,daily,2024-12-20,fibonacci,2024-12-17,2024-12-20,high_to_low,
96307.23839,Fib_0.639_daily,daily,2024-12-05,fibonacci,2024-11-22,2024-12-05,high_to_low,
96407.99,HTF_Level_daily,daily,2024-12-01,htf,,,,
96412.32549,Fib_0.639_daily,daily,2024-11-26,fibonacci,2024-11-22,2024-11-26,high_to_low,
96501.0,VP_vah,daily,,volume_profile,,,,2024-11-30
96522.0,VP_vah,daily,,volume_profile,,,,2024-11-21
96593.0,HTF_Level_daily,daily,2024-12-11,htf,,,,
96634.5375,Fib_0.25_daily,daily,2024-12-09,fibonacci,2024-12-05,2024-12-09,high_to_low,
96648.0,VP_vah,daily,,volume_profile,,,,2024-12-01
96662.7675,Fib_0.25_daily,daily,2024-11-29,fibonacci,2024-11-26,2024-11-29,low_to_high,
96668.0,VP_poc,daily,,volume_profile,,,,2024-12-04
96690.0,VP_vah,daily,,volume_profile,,,,2024-11-24
96701.0,VP_vah,daily,,volume_profile,,,,2024-11-29
96744.0,VP_vah,daily,,volume_profile,,,,2024-12-21
96782.0,VP_val,daily,,volume_profile,,,,2024-12-22
96879.0,VP_vah,daily,,volume_profile,,,,2024-12-06
96934.0,VP_poc,daily,,volume_profile,,,,2024-11-30
96944.933,Fib_0.639_daily,daily,2024-12-17,fibonacci,2024-12-05,2024-12-17,low_to_high,
96945.63,HTF_Level_daily,daily,2024-12-06,htf,,,,
96956.0,VP_vah,daily,,volume_profile,,,,2024-12-09
96960.0,VP_val,daily,,volume_profile,,,,2024-11-30
97028.0,VP_poc,daily,,volume_profile,,,,2024-12-10
97095.0,VP_poc,daily,,volume_profile,,,,2024-12-01
